Course,Section,Time,Location,Enrollment,Classification,Day
CENG 4640,L1,MoWe 09:00AM - 10:20AM,"Rm 6602, Lift 31-32 (60)",7,Lift 31-32,MoWe
CENG 4640,T1,Fr 11:00AM - 11:50AM,Lecture Theater H (72),7,Lecture Theater H,Fr
CENG 4670,L1,TuTh 04:30PM - 05:50PM,"G009A, CYT Bldg (80)",45,CYT Bldg,TuTh
CENG 4710,L1,WeFr 03:00PM - 04:20PM,"Rm 2406, Lift 17-18 (76)",23,Lift 17-18,WeFr
CENG 4920,T1,Tu 06:00PM - 06:50PM,"LTL, CYT Bldg (354)",15,CYT Bldg,Tu
CENG 4920,T2,Sa 09:00AM - 09:50AM,TBA,1,TBA,Sa
CENG 4940,T1,Tu 06:00PM - 06:50PM,TBA,2,TBA,Tu
CENG 4980W,T1,TBA,TBA,2,TBA,TBA
CENG 4980W,LA1,TBA,TBA,2,TBA,TBA
CENG 5230,L1,Mo 09:00AM - 11:50AM,"Rm 4472, Lift 25-26 (30)",13,Lift 25-26,Mo
CENG 5550,L1,Tu 10:30AM - 01:20PM,"Rm 4504, Lift 25-26 (54)",24,Lift 25-26,Tu
CENG 6800Y,T1,Fr 04:30PM - 05:20PM,"Rm 4620, Lift 31-32 (126)",55,Lift 31-32,Fr
CENG 6900C,R1,TBA,TBA,7,TBA,TBA
CENG 6990,R1,TBA,TBA,24,TBA,TBA
CENG 7990,R1,TBA,TBA,87,TBA,TBA
CHEM 1008,L1,TuTh 01:30PM - 02:50PM,"LTL, CYT Bldg (354)",194,CYT Bldg,TuTh
CHEM 1020,L1,WeFr 03:00PM - 04:20PM,Lecture Theater J (300),250,Lecture Theater J,WeFr
CHEM 1020,L2,WeFr 04:30PM - 05:50PM,Lecture Theater J (300),249,Lecture Theater J,WeFr
CHEM 1030,L1,TuTh 01:30PM - 02:50PM,"Rm 1104, Acad Concourse (120)",103,Acad Concourse,TuTh
CHEM 1030,L2,TBA,TBA,5,TBA,TBA
CHEM 1050,LA1,Tu 10:30AM - 01:20PM,"UG001, CYT Bldg",42,CYT Bldg,Tu
